hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,89,2017,August,33,16,0,3,2,2,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,NULL,0,Transient,240,0,1,Check-Out,19/8/2017
City Hotel,89,2017,August,33,16,0,3,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,200,0,2,Check-Out,19/8/2017
City Hotel,108,2017,August,33,15,0,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,A,1,No Deposit,NULL,NULL,0,Transient-Party,130.5,0,0,Check-Out,19/8/2017
City Hotel,10,2017,August,33,18,0,1,2,1,0,BB,USA,Direct,Direct,0,0,0,F,F,0,No Deposit,14,NULL,0,Transient,260,0,0,Check-Out,19/8/2017
City Hotel,123,2017,August,33,16,0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,185,0,0,Check-Out,19/8/2017
City Hotel,98,2017,August,33,16,0,3,3,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27,NULL,0,Transient,116.1,0,1,Check-Out,19/8/2017
City Hotel,135,2017,August,33,17,0,2,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,199.5,0,1,Check-Out,19/8/2017
City Hotel,129,2017,August,33,15,0,4,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,129,2017,August,33,15,0,4,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,112,2017,August,33,16,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,202,0,1,Check-Out,19/8/2017
City Hotel,107,2017,August,33,15,0,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,19/8/2017
City Hotel,72,2017,August,33,17,0,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,19/8/2017
City Hotel,129,2017,August,33,15,0,4,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,72,2017,August,33,17,0,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,259,0,1,Check-Out,19/8/2017
City Hotel,113,2017,August,33,17,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,19/8/2017
City Hotel,125,2017,August,32,12,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,19/8/2017
City Hotel,147,2017,August,33,17,0,2,1,1,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,8,NULL,0,Transient,103.5,0,0,Check-Out,19/8/2017
City Hotel,175,2017,August,33,15,0,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,0,Check-Out,19/8/2017
City Hotel,77,2017,August,33,15,0,4,2,0,0,BB,ETH,Direct,Direct,0,0,0,D,A,0,No Deposit,14,NULL,0,Transient,111.8,0,0,Check-Out,19/8/2017
City Hotel,31,2017,August,33,17,0,2,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,169,0,3,Check-Out,19/8/2017
City Hotel,2,2017,August,33,17,0,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,169,0,1,Check-Out,19/8/2017
City Hotel,209,2017,August,33,16,0,3,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient,115,0,1,Check-Out,19/8/2017
City Hotel,107,2017,August,33,15,0,4,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,204,0,1,Check-Out,19/8/2017
City Hotel,156,2017,August,32,12,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,157.5,1,2,Check-Out,19/8/2017
City Hotel,201,2017,August,33,17,0,2,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,235,0,0,Check-Out,19/8/2017
City Hotel,230,2017,August,33,16,0,3,2,1,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,2,Check-Out,19/8/2017
City Hotel,213,2017,August,33,17,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,80.1,0,2,Check-Out,19/8/2017
City Hotel,139,2017,August,33,15,0,4,2,3,0,HB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,NULL,14,0,Transient,300,0,1,Check-Out,19/8/2017
City Hotel,84,2017,August,33,15,0,4,3,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,215,0,3,Check-Out,19/8/2017
City Hotel,137,2017,August,33,18,0,1,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,195,0,1,Check-Out,19/8/2017
City Hotel,77,2017,August,33,17,0,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,NULL,0,Transient,240,0,1,Check-Out,19/8/2017
City Hotel,27,2017,August,33,15,0,4,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,169,1,1,Check-Out,19/8/2017
City Hotel,182,2017,August,33,17,0,2,2,0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,112.5,0,1,Check-Out,19/8/2017
City Hotel,210,2017,August,33,14,1,4,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,177.3,0,0,Check-Out,19/8/2017
City Hotel,219,2017,August,32,12,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,19/8/2017
City Hotel,80,2017,August,33,18,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,1,Check-Out,19/8/2017
City Hotel,208,2017,August,33,14,1,4,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,3,Check-Out,19/8/2017
City Hotel,22,2017,August,33,19,1,1,2,1,0,BB,FRA,Direct,TA/TO,0,0,0,D,A,0,No Deposit,NULL,NULL,0,Transient,174,0,3,Check-Out,21/8/2017
City Hotel,0,2017,August,33,18,0,1,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,89.5,0,0,Check-Out,19/8/2017
City Hotel,108,2017,August,33,17,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,19/8/2017
City Hotel,108,2017,August,33,17,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,19/8/2017
City Hotel,201,2017,August,33,16,0,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,112.5,0,0,Check-Out,19/8/2017
City Hotel,40,2017,August,33,18,0,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,174,0,0,Check-Out,19/8/2017
City Hotel,201,2017,August,33,16,0,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,112.5,0,0,Check-Out,19/8/2017
City Hotel,93,2017,August,33,17,0,2,3,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28,NULL,0,Transient,116.1,0,1,Check-Out,19/8/2017
City Hotel,185,2017,August,33,16,0,3,2,1,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,1,Check-Out,19/8/2017
City Hotel,23,2017,August,33,18,0,1,3,1,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,14,NULL,0,Transient,264,1,1,Check-Out,19/8/2017
City Hotel,70,2017,August,33,15,0,4,2,0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,98.1,0,0,Check-Out,19/8/2017
City Hotel,129,2017,August,33,15,0,4,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,134,2017,August,33,15,0,4,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,77,2017,August,33,17,0,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,170,0,2,Check-Out,19/8/2017
City Hotel,134,2017,August,33,15,0,4,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,19/8/2017
City Hotel,5,2017,August,33,18,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,K,0,No Deposit,NULL,NULL,0,Transient,144,0,1,Check-Out,19/8/2017
City Hotel,121,2017,August,33,16,0,4,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,20/8/2017
City Hotel,346,2017,August,32,12,2,6,2,0,0,HB,ROU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,21,NULL,0,Transient,116.15,0,0,Check-Out,20/8/2017
City Hotel,115,2017,August,32,8,2,10,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,20/8/2017
City Hotel,121,2017,August,33,16,0,4,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,20/8/2017
City Hotel,2,2017,August,33,18,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,127.6,0,1,Check-Out,20/8/2017
City Hotel,233,2017,August,33,16,0,4,2,0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,NULL,0,Transient,106.65,0,1,Check-Out,20/8/2017
City Hotel,266,2017,August,33,17,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,80.1,0,0,Check-Out,20/8/2017
City Hotel,11,2017,August,33,14,1,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,189,0,1,Check-Out,20/8/2017
City Hotel,263,2017,August,33,17,0,3,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,107.1,0,0,Check-Out,20/8/2017
City Hotel,120,2017,August,33,16,0,4,2,0,0,HB,HUN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient-Party,183,0,2,Check-Out,20/8/2017
City Hotel,155,2017,August,33,17,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,NULL,0,Transient,80.1,0,2,Check-Out,20/8/2017
City Hotel,94,2017,August,33,16,0,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9,NULL,0,Transient,155.75,0,1,Check-Out,20/8/2017
City Hotel,155,2017,August,33,17,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22,NULL,0,Transient,80.1,0,2,Check-Out,20/8/2017
City Hotel,20,2017,August,33,19,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,190,0,1,Check-Out,20/8/2017
City Hotel,120,2017,August,33,16,0,4,2,0,0,HB,HUN,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient-Party,193,0,2,Check-Out,20/8/2017
City Hotel,103,2017,August,33,17,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,NULL,0,Transient,89.1,0,1,Check-Out,20/8/2017
City Hotel,113,2017,August,33,17,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,121.5,0,3,Check-Out,20/8/2017
City Hotel,208,2017,August,33,17,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,131.7,1,0,Check-Out,20/8/2017
City Hotel,91,2017,August,33,16,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9,NULL,0,Transient,150,0,1,Check-Out,20/8/2017
City Hotel,156,2017,August,33,19,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,130.5,0,2,Check-Out,20/8/2017
City Hotel,219,2017,August,33,17,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,131.7,0,1,Check-Out,20/8/2017
City Hotel,156,2017,August,33,19,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,130.5,0,2,Check-Out,20/8/2017
City Hotel,28,2017,August,33,18,0,2,2,0,1,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NULL,0,Transient,140.8,0,1,Check-Out,20/8/2017
City Hotel,219,2017,August,33,17,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,122.7,0,1,Check-Out,20/8/2017
City Hotel,155,2017,August,33,14,1,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,2,No Deposit,14,NULL,0,Transient,112.5,0,1,Check-Out,20/8/2017
City Hotel,186,2017,August,33,17,0,3,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,89.76,0,0,Check-Out,20/8/2017
City Hotel,32,2017,August,33,18,0,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,1,Check-Out,20/8/2017
City Hotel,4,2017,August,33,19,0,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,159,NULL,0,Transient,209,0,0,Check-Out,20/8/2017
City Hotel,1,2017,August,33,19,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,173.5,1,1,Check-Out,20/8/2017
City Hotel,1,2017,August,33,19,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,173.5,0,1,Check-Out,20/8/2017
City Hotel,87,2017,August,33,18,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,80.1,0,0,Check-Out,20/8/2017
City Hotel,92,2017,August,33,17,0,3,2,0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,80.1,0,1,Check-Out,20/8/2017
City Hotel,6,2017,August,33,18,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,136.8,0,2,Check-Out,20/8/2017
City Hotel,3,2017,August,33,19,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,149,0,0,Check-Out,20/8/2017
City Hotel,3,2017,August,33,19,0,1,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,189,0,0,Check-Out,20/8/2017
City Hotel,37,2017,August,33,17,0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,1,Check-Out,20/8/2017
City Hotel,0,2017,August,33,19,0,1,2,0,1,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,169,0,0,Check-Out,20/8/2017
City Hotel,4,2017,August,33,18,0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,2,No Deposit,14,NULL,0,Transient,189,0,2,Check-Out,20/8/2017
City Hotel,104,2017,August,33,18,0,2,2,2,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,168,NULL,0,Transient,139.5,1,0,Check-Out,20/8/2017
City Hotel,177,2017,August,33,16,0,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,354,NULL,0,Transient,121.77,0,0,Check-Out,20/8/2017
City Hotel,38,2017,August,33,19,0,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,1,Check-Out,20/8/2017
City Hotel,255,2017,August,33,17,0,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,172.2,0,2,Check-Out,20/8/2017
City Hotel,5,2017,August,33,17,0,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,0,Check-Out,20/8/2017
City Hotel,176,2017,August,33,13,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient-Party,109.16,0,0,Check-Out,20/8/2017
City Hotel,176,2017,August,33,13,2,5,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient-Party,109.16,0,0,Check-Out,20/8/2017
City Hotel,114,2017,August,33,17,0,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,20/8/2017
City Hotel,272,2017,August,33,18,0,2,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,89.1,0,1,Check-Out,20/8/2017
City Hotel,13,2017,August,33,17,0,3,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,1,Check-Out,20/8/2017
City Hotel,2,2017,August,33,19,0,1,3,0,0,BB,LUX,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,219,0,0,Check-Out,20/8/2017
City Hotel,109,2017,August,33,16,0,4,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,225,0,1,Check-Out,20/8/2017
City Hotel,141,2017,August,33,17,0,3,2,0,0,SC,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,71.1,0,1,Check-Out,20/8/2017
City Hotel,180,2017,August,33,13,2,5,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,168,NULL,0,Transient,116.1,0,0,Check-Out,20/8/2017
City Hotel,0,2017,August,33,19,0,1,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,169,0,0,Check-Out,20/8/2017
City Hotel,30,2017,August,33,17,0,3,2,1,0,BB,FRA,Direct,Direct,0,0,0,B,A,1,No Deposit,14,NULL,0,Transient-Party,138.02,0,2,Check-Out,20/8/2017
City Hotel,138,2017,August,33,19,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,20/8/2017
City Hotel,138,2017,August,33,19,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,20/8/2017
City Hotel,30,2017,August,33,17,0,3,2,1,0,BB,FRA,Direct,Direct,0,0,0,B,A,0,No Deposit,14,NULL,0,Transient-Party,138.02,0,2,Check-Out,20/8/2017
City Hotel,13,2017,August,33,19,0,1,2,0,0,BB,ISR,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,170,0,0,Check-Out,20/8/2017
City Hotel,85,2017,August,33,18,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,80.1,0,0,Check-Out,20/8/2017
City Hotel,114,2017,August,33,17,0,3,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,195,0,1,Check-Out,20/8/2017
City Hotel,36,2017,August,33,19,0,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,200,0,2,Check-Out,20/8/2017
City Hotel,36,2017,August,33,19,0,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,200,0,2,Check-Out,20/8/2017
City Hotel,165,2017,August,33,17,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NULL,0,Transient,104.4,0,0,Check-Out,20/8/2017
City Hotel,2,2017,August,33,18,0,2,3,0,0,BB,TUR,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,229,0,0,Check-Out,20/8/2017
City Hotel,25,2017,August,33,18,0,2,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,1,Check-Out,20/8/2017
City Hotel,70,2017,August,33,18,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,89.1,0,1,Check-Out,20/8/2017
City Hotel,81,2017,August,33,19,0,1,1,0,0,BB,CYP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,160,0,1,Check-Out,20/8/2017
City Hotel,10,2017,August,33,18,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,2,Check-Out,20/8/2017
City Hotel,2,2017,August,33,19,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,149,0,1,Check-Out,20/8/2017
City Hotel,19,2017,August,33,19,0,1,2,2,0,BB,CZE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,270,0,0,Check-Out,20/8/2017
City Hotel,179,2017,August,33,14,1,5,2,0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,121,NULL,0,Transient,75.65,0,1,Check-Out,20/8/2017
City Hotel,272,2017,August,33,18,0,2,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,156.6,0,1,Check-Out,20/8/2017
City Hotel,70,2017,August,33,18,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,89.1,0,1,Check-Out,20/8/2017
City Hotel,23,2017,August,33,18,0,2,3,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,G,K,0,No Deposit,159,NULL,0,Transient,283.23,0,0,Check-Out,20/8/2017
City Hotel,250,2017,August,33,14,2,5,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,16,NULL,0,Transient,112.1,0,0,Check-Out,21/8/2017
City Hotel,147,2017,August,33,14,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,149.5,0,2,Check-Out,21/8/2017
City Hotel,193,2017,August,33,18,1,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,163.2,0,1,Check-Out,21/8/2017
City Hotel,182,2017,August,32,9,3,9,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,NULL,0,Transient,89.1,0,1,Check-Out,21/8/2017
City Hotel,296,2017,August,33,19,1,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,86.63,0,1,Check-Out,21/8/2017
City Hotel,174,2017,August,33,19,1,1,4,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,79,NULL,0,Transient,171.6,0,0,Check-Out,21/8/2017
City Hotel,16,2017,August,34,20,1,0,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,3,NULL,0,Transient,99,0,2,Check-Out,21/8/2017
City Hotel,4,2017,August,34,20,1,0,1,0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,119,0,0,Check-Out,21/8/2017
City Hotel,250,2017,August,33,17,1,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,148.28,0,1,Check-Out,21/8/2017
City Hotel,236,2017,August,33,17,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,121.28,0,2,Check-Out,21/8/2017
City Hotel,236,2017,August,33,17,1,3,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,193.28,0,2,Check-Out,21/8/2017
City Hotel,236,2017,August,33,17,1,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,130.28,1,2,Check-Out,21/8/2017
City Hotel,53,2017,August,33,19,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,170,0,1,Check-Out,21/8/2017
City Hotel,101,2017,August,33,18,1,2,2,0,0,BB,IRL,Direct,Direct,0,0,0,A,A,2,No Deposit,14,NULL,0,Transient,93.42,0,1,Check-Out,21/8/2017
City Hotel,323,2017,August,33,18,1,2,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,1,Check-Out,21/8/2017
City Hotel,127,2017,August,33,18,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,21/8/2017
City Hotel,127,2017,August,33,18,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,134,0,2,Check-Out,21/8/2017
